bgp2 31 18:05:44 up 0 min, load average: 0.76, 0.23, 0.08Mem: 126476 30088 96388 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 32 05:21:12 up 0 min, load average: 0.97, 0.32, 0.11Mem: 126476 28904 97572 0 2676
bgp1 31 18:05:45 up 0 min, load average: 1.10, 0.36, 0.13Mem: 126476 29996 96480 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 32 18:05:45 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 30020 96456 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 33 05:21:13 up 0 min, load average: 0.97, 0.32, 0.11Mem: 126476 28888 97588 0 2676
bgp1 32 18:05:46 up 0 min, load average: 1.10, 0.36, 0.13Mem: 126476 29996 96480 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 33 18:05:46 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 30124 96352 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 34 05:21:14 up 0 min, load average: 0.97, 0.32, 0.11Mem: 126476 28800 97676 0 2676
bgp1 33 18:05:47 up 0 min, load average: 1.10, 0.36, 0.13Mem: 126476 30164 96312 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 34 18:05:47 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 30116 96360 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 35 05:21:15 up 0 min, load average: 0.97, 0.32, 0.11Mem: 126476 28580 97896 0 2676
bgp1 34 18:05:48 up 0 min, load average: 1.10, 0.36, 0.13Mem: 126476 30160 96316 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 35 18:05:48 up 1 min, load average: 0.86, 0.26, 0.09Mem: 126476 30148 96328 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 36 05:21:16 up 1 min, load average: 0.97, 0.32, 0.11Mem: 126476 28604 97872 0 2676
bgp1 35 18:05:49 up 1 min, load average: 1.10, 0.36, 0.13Mem: 126476 30096 96380 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 36 18:05:49 up 1 min, load average: 0.79, 0.26, 0.09Mem: 126476 29936 96540 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 37 05:21:17 up 1 min, load average: 0.89, 0.31, 0.11Mem: 126476 28516 97960 0 2676
bgp1 36 18:05:50 up 1 min, load average: 1.01, 0.36, 0.12Mem: 126476 30312 96164 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 37 18:05:50 up 1 min, load average: 0.79, 0.26, 0.09Mem: 126476 29956 96520 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 38 05:21:18 up 1 min, load average: 0.89, 0.31, 0.11Mem: 126476 28424 98052 0 2676
bgp1 37 18:05:51 up 1 min, load average: 1.01, 0.36, 0.12Mem: 126476 30252 96224 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 38 18:05:51 up 1 min, load average: 0.79, 0.26, 0.09Mem: 126476 29960 96516 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 39 05:21:20 up 1 min, load average: 0.89, 0.31, 0.11Mem: 126476 28476 98000 0 2676
bgp1 38 18:05:52 up 1 min, load average: 1.01, 0.36, 0.12Mem: 126476 30344 96132 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 39 18:05:52 up 1 min, load average: 0.79, 0.26, 0.09Mem: 126476 30060 96416 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 40 05:21:21 up 1 min, load average: 0.89, 0.31, 0.11Mem: 126476 28536 97940 0 2676
bgp1 39 18:05:53 up 1 min, load average: 1.01, 0.36, 0.12Mem: 126476 30228 96248 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 40 18:05:53 up 1 min, load average: 0.79, 0.26, 0.09Mem: 126476 30116 96360 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 41 05:21:22 up 1 min, load average: 0.89, 0.31, 0.11Mem: 126476 28416 98060 0 2676
bgp1 40 18:05:54 up 1 min, load average: 1.01, 0.36, 0.12Mem: 126476 30252 96224 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 41 18:05:54 up 1 min, load average: 0.73, 0.26, 0.09Mem: 126476 29940 96536 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 42 05:21:23 up 1 min, load average: 0.82, 0.31, 0.11Mem: 126476 28512 97964 0 2676
bgp1 41 18:05:55 up 1 min, load average: 1.09, 0.38, 0.14Mem: 126476 30256 96220 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 42 18:05:55 up 1 min, load average: 0.73, 0.26, 0.09Mem: 126476 29996 96480 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 43 05:21:24 up 1 min, load average: 0.82, 0.31, 0.11Mem: 126476 28680 97796 0 2676
bgp1 42 18:05:56 up 1 min, load average: 1.09, 0.38, 0.14Mem: 126476 30348 96128 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 43 18:05:56 up 1 min, load average: 0.73, 0.26, 0.09Mem: 126476 29764 96712 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 44 05:21:25 up 1 min, load average: 0.82, 0.31, 0.11Mem: 126476 28896 97580 0 2676
bgp1 43 18:05:57 up 1 min, load average: 1.09, 0.38, 0.14Mem: 126476 30320 96156 0 2676 Routes: 2267 imported, 6 exported, 4534 preferred
bgp2 44 18:05:57 up 1 min, load average: 0.73, 0.26, 0.09Mem: 126476 29636 96840 0 2996 Routes: 2267 imported, 6 exported, 2267 preferred
bmx3 45 05:21:26 up 1 min, load average: 0.82, 0.31, 0.11Mem: 126476 28988 97488 0 2676
bgp1 44 18:05:58 up 1 min, load average: 1.09, 0.38, 0.14Mem: 126476 30408 96068 0 2676 Routes: 2267 imported, 6 exported, 4534 preferred
bgp2 45 18:05:58 up 1 min, load average: 0.73, 0.26, 0.09Mem: 126476 29796 96680 0 2996 Routes: 2267 imported, 6 exported, 2267 preferred
bmx3 46 05:21:27 up 1 min, load average: 0.82, 0.31, 0.11Mem: 126476 29148 97328 0 2676
bgp1 45 18:05:59 up 1 min, load average: 1.09, 0.38, 0.14Mem: 126476 30260 96216 0 2676 Routes: 2267 imported, 6 exported, 4534 preferred
bgp2 46 18:05:59 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 29712 96764 0 2996 Routes: 2267 imported, 6 exported, 2267 preferred
bmx3 47 05:21:28 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 29336 97140 0 2676
bgp1 46 18:06:00 up 1 min, load average: 1.16, 0.41, 0.14Mem: 126476 30480 95996 0 2676 Routes: 2267 imported, 6 exported, 4534 preferred
bgp2 47 18:06:00 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 29452 97024 0 2996 Routes: 2267 imported, 6 exported, 2267 preferred
bmx3 48 05:21:29 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 29540 96936 0 2676
bgp1 47 18:06:01 up 1 min, load average: 1.16, 0.41, 0.14Mem: 126476 30316 96160 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bgp2 48 18:06:02 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 29668 96808 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bmx3 49 05:21:30 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 29592 96884 0 2676
bgp1 48 18:06:02 up 1 min, load average: 1.16, 0.41, 0.14Mem: 126476 30380 96096 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bgp2 49 18:06:03 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 29548 96928 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bmx3 50 05:21:31 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 29600 96876 0 2676
bgp1 49 18:06:04 up 1 min, load average: 1.16, 0.41, 0.14Mem: 126476 30444 96032 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bgp2 50 18:06:04 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 29604 96872 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bmx3 51 05:21:32 up 1 min, load average: 0.84, 0.33, 0.12Mem: 126476 28728 97748 0 2676
bgp1 50 18:06:05 up 1 min, load average: 1.15, 0.42, 0.15Mem: 126476 30544 95932 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bgp2 51 18:06:05 up 1 min, load average: 0.70, 0.26, 0.09Mem: 126476 29712 96764 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bmx3 52 05:21:33 up 1 min, load average: 0.84, 0.33, 0.12Mem: 126476 29052 97424 0 2676
bgp1 51 18:06:06 up 1 min, load average: 1.15, 0.42, 0.15Mem: 126476 30428 96048 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bgp2 52 18:06:06 up 1 min, load average: 0.70, 0.26, 0.09Mem: 126476 29732 96744 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bmx3 53 05:21:34 up 1 min, load average: 0.84, 0.33, 0.12Mem: 126476 29332 97144 0 2676
bgp2 53 18:06:07 up 1 min, load average: 0.70, 0.26, 0.09Mem: 126476 29612 96864 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 52 18:06:07 up 1 min, load average: 1.15, 0.42, 0.15Mem: 126476 30572 95904 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 54 05:21:35 up 1 min, load average: 0.84, 0.33, 0.12Mem: 126476 28724 97752 0 2676
bgp2 54 18:06:08 up 1 min, load average: 0.70, 0.26, 0.09Mem: 126476 29544 96932 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 53 18:06:08 up 1 min, load average: 1.15, 0.42, 0.15Mem: 126476 30572 95904 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 55 05:21:36 up 1 min, load average: 0.84, 0.33, 0.12Mem: 126476 28848 97628 0 2676
bgp1 54 18:06:09 up 1 min, load average: 1.15, 0.42, 0.15Mem: 126476 30544 95932 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bgp2 55 18:06:09 up 1 min, load average: 0.64, 0.26, 0.09Mem: 126476 29768 96708 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bmx3 56 05:21:38 up 1 min, load average: 0.78, 0.33, 0.12Mem: 126476 28892 97584 0 2676
bgp2 56 18:06:10 up 1 min, load average: 0.64, 0.26, 0.09Mem: 126476 29520 96956 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 55 18:06:10 up 1 min, load average: 1.06, 0.41, 0.15Mem: 126476 30636 95840 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 57 05:21:39 up 1 min, load average: 0.78, 0.33, 0.12Mem: 126476 29104 97372 0 2676
bgp2 57 18:06:11 up 1 min, load average: 0.64, 0.26, 0.09Mem: 126476 29732 96744 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 56 18:06:11 up 1 min, load average: 1.06, 0.41, 0.15Mem: 126476 30396 96080 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 58 05:21:40 up 1 min, load average: 0.78, 0.33, 0.12Mem: 126476 29116 97360 0 2676
bgp2 58 18:06:12 up 1 min, load average: 0.64, 0.26, 0.09Mem: 126476 29648 96828 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 57 18:06:12 up 1 min, load average: 1.06, 0.41, 0.15Mem: 126476 30444 96032 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 59 05:21:41 up 1 min, load average: 0.78, 0.33, 0.12Mem: 126476 29112 97364 0 2676
bgp2 59 18:06:13 up 1 min, load average: 0.64, 0.26, 0.09Mem: 126476 29672 96804 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 58 18:06:13 up 1 min, load average: 1.06, 0.41, 0.15Mem: 126476 30368 96108 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 60 05:21:42 up 1 min, load average: 0.78, 0.33, 0.12Mem: 126476 29176 97300 0 2676
bgp2 60 18:06:14 up 1 min, load average: 0.59, 0.25, 0.09Mem: 126476 29860 96616 0 2996 Routes: 2268 imported, 6 exported, 2268 preferred
bgp1 59 18:06:14 up 1 min, load average: 1.06, 0.41, 0.15Mem: 126476 30240 96236 0 2676 Routes: 2268 imported, 6 exported, 4536 preferred
bmx3 61 05:21:43 up 1 min, load average: 0.79, 0.34, 0.12Mem: 126476 29232 97244 0 2676
bgp2 61 18:06:15 up 1 min, load average: 0.59, 0.25, 0.09Mem: 126476 29928 96548 0 2996 Routes: 2269 imported, 6 exported, 2269 preferred
bgp1 60 18:06:15 up 1 min, load average: 0.97, 0.41, 0.15Mem: 126476 30268 96208 0 2676 Routes: 2269 imported, 6 exported, 4538 preferred
bmx3 62 05:21:44 up 1 min, load average: 0.79, 0.34, 0.12Mem: 126476 29236 97240 0 2676
bgp2 62 18:06:16 up 1 min, load average: 0.59, 0.25, 0.09Mem: 126476 29896 96580 0 2996 Routes: 2269 imported, 6 exported, 2269 preferred
bgp1 61 18:06:16 up 1 min, load average: 0.97, 0.41, 0.15Mem: 126476 30248 96228 0 2676 Routes: 2269 imported, 6 exported, 4538 preferred
bmx3 63 05:21:45 up 1 min, load average: 0.79, 0.34, 0.12Mem: 126476 29200 97276 0 2676
