bgp2 35 14:07:26 up 1 min, load average: 0.72, 0.26, 0.09Mem: 126476 27184 99292 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 36 05:20:35 up 1 min, load average: 0.77, 0.26, 0.09Mem: 126476 26436 100040 0 2676
bgp1 36 14:07:27 up 1 min, load average: 1.11, 0.37, 0.13Mem: 126476 26992 99484 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 36 14:07:27 up 1 min, load average: 0.72, 0.26, 0.09Mem: 126476 26960 99516 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 37 05:20:36 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26404 100072 0 2676
bgp1 37 14:07:28 up 1 min, load average: 1.11, 0.37, 0.13Mem: 126476 26988 99488 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 37 14:07:28 up 1 min, load average: 0.72, 0.26, 0.09Mem: 126476 26928 99548 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 38 05:20:37 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26400 100076 0 2676
bgp1 38 14:07:29 up 1 min, load average: 1.11, 0.37, 0.13Mem: 126476 27004 99472 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 38 14:07:29 up 1 min, load average: 0.72, 0.26, 0.09Mem: 126476 27024 99452 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 39 05:20:38 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26276 100200 0 2676
bgp1 39 14:07:30 up 1 min, load average: 1.11, 0.37, 0.13Mem: 126476 27124 99352 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 39 14:07:30 up 1 min, load average: 0.72, 0.26, 0.09Mem: 126476 27088 99388 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 40 05:20:39 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26188 100288 0 2676
bgp1 40 14:07:31 up 1 min, load average: 1.11, 0.37, 0.13Mem: 126476 27088 99388 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 40 14:07:31 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 27160 99316 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 41 05:20:40 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26372 100104 0 2676
bgp1 41 14:07:32 up 1 min, load average: 1.10, 0.38, 0.14Mem: 126476 26968 99508 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 41 14:07:33 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 27340 99136 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 42 05:20:41 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26528 99948 0 2676
bgp1 42 14:07:33 up 1 min, load average: 1.10, 0.38, 0.14Mem: 126476 26964 99512 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 42 14:07:34 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 27408 99068 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 43 05:20:42 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26368 100108 0 2676
bgp1 43 14:07:34 up 1 min, load average: 1.10, 0.38, 0.14Mem: 126476 26892 99584 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 43 14:07:35 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 27468 99008 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 44 05:20:43 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26368 100108 0 2676
bgp1 44 14:07:35 up 1 min, load average: 1.10, 0.38, 0.14Mem: 126476 26648 99828 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 44 14:07:36 up 1 min, load average: 0.67, 0.25, 0.09Mem: 126476 27196 99280 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 45 05:20:44 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26308 100168 0 2676
bgp1 45 14:07:36 up 1 min, load average: 1.10, 0.38, 0.14Mem: 126476 26544 99932 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 45 14:07:37 up 1 min, load average: 0.61, 0.25, 0.09Mem: 126476 26992 99484 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 46 05:20:45 up 1 min, load average: 0.60, 0.25, 0.09Mem: 126476 26336 100140 0 2676
bgp1 46 14:07:37 up 1 min, load average: 1.18, 0.41, 0.14Mem: 126476 26444 100032 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 46 14:07:38 up 1 min, load average: 0.61, 0.25, 0.09Mem: 126476 27088 99388 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 47 05:20:46 up 1 min, load average: 0.60, 0.25, 0.09Mem: 126476 26148 100328 0 2676
bgp1 47 14:07:38 up 1 min, load average: 1.18, 0.41, 0.14Mem: 126476 26380 100096 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 47 14:07:39 up 1 min, load average: 0.61, 0.25, 0.09Mem: 126476 27116 99360 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 48 05:20:47 up 1 min, load average: 0.60, 0.25, 0.09Mem: 126476 26144 100332 0 2676
bgp1 48 14:07:39 up 1 min, load average: 1.18, 0.41, 0.14Mem: 126476 26320 100156 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 48 14:07:40 up 1 min, load average: 0.61, 0.25, 0.09Mem: 126476 27176 99300 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 49 05:20:48 up 1 min, load average: 0.60, 0.25, 0.09Mem: 126476 25992 100484 0 2676
bgp1 49 14:07:40 up 1 min, load average: 1.18, 0.41, 0.14Mem: 126476 26140 100336 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 50 05:20:49 up 1 min, load average: 0.60, 0.25, 0.09Mem: 126476 25964 100512 0 2676
bgp2 49 14:07:41 up 1 min, load average: 0.61, 0.25, 0.09Mem: 126476 27344 99132 0 2996 Routes: 689 imported, 6 exported, 689 preferred
bgp1 50 14:07:41 up 1 min, load average: 1.18, 0.41, 0.14Mem: 126476 26200 100276 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 51 05:20:50 up 1 min, load average: 0.55, 0.24, 0.09Mem: 126476 25988 100488 0 2676
bgp2 50 14:07:42 up 1 min, load average: 0.80, 0.29, 0.10Mem: 126476 28140 98336 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 51 14:07:42 up 1 min, load average: 1.08, 0.40, 0.14Mem: 126476 26228 100248 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 52 05:20:51 up 1 min, load average: 0.55, 0.24, 0.09Mem: 126476 25988 100488 0 2676
bgp2 51 14:07:43 up 1 min, load average: 0.80, 0.29, 0.10Mem: 126476 28072 98404 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 52 14:07:44 up 1 min, load average: 1.08, 0.40, 0.14Mem: 126476 26480 99996 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 53 05:20:52 up 1 min, load average: 0.55, 0.24, 0.09Mem: 126476 25904 100572 0 2676
bgp2 52 14:07:44 up 1 min, load average: 0.80, 0.29, 0.10Mem: 126476 28148 98328 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 53 14:07:45 up 1 min, load average: 1.08, 0.40, 0.14Mem: 126476 26388 100088 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 54 05:20:53 up 1 min, load average: 0.55, 0.24, 0.09Mem: 126476 25988 100488 0 2676
bgp2 53 14:07:45 up 1 min, load average: 0.80, 0.29, 0.10Mem: 126476 28152 98324 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 54 14:07:46 up 1 min, load average: 1.08, 0.40, 0.14Mem: 126476 26608 99868 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 55 05:20:55 up 1 min, load average: 0.55, 0.24, 0.09Mem: 126476 25892 100584 0 2676
bgp2 54 14:07:46 up 1 min, load average: 0.82, 0.30, 0.11Mem: 126476 28312 98164 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 55 14:07:47 up 1 min, load average: 1.08, 0.40, 0.14Mem: 126476 26544 99932 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 56 05:20:56 up 1 min, load average: 0.50, 0.24, 0.09Mem: 126476 25960 100516 0 2676
bgp2 55 14:07:47 up 1 min, load average: 0.82, 0.30, 0.11Mem: 126476 28352 98124 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 56 14:07:48 up 1 min, load average: 0.99, 0.40, 0.14Mem: 126476 26520 99956 0 2676 Routes: 506 imported, 6 exported, 1012 preferred
bmx3 57 05:20:57 up 1 min, load average: 0.50, 0.24, 0.09Mem: 126476 25988 100488 0 2676
bgp2 56 14:07:48 up 1 min, load average: 0.82, 0.30, 0.11Mem: 126476 28476 98000 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 57 14:07:49 up 1 min, load average: 0.99, 0.40, 0.14Mem: 126476 28260 98216 0 2676 Routes: 2264 imported, 6 exported, 4528 preferred
bmx3 58 05:20:58 up 1 min, load average: 0.50, 0.24, 0.09Mem: 126476 26060 100416 0 2676
bgp2 57 14:07:50 up 1 min, load average: 0.82, 0.30, 0.11Mem: 126476 28580 97896 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 58 14:07:50 up 1 min, load average: 0.99, 0.40, 0.14Mem: 126476 28144 98332 0 2676 Routes: 2264 imported, 6 exported, 4528 preferred
bmx3 59 05:20:59 up 1 min, load average: 0.50, 0.24, 0.09Mem: 126476 26016 100460 0 2676
bgp2 58 14:07:51 up 1 min, load average: 0.82, 0.30, 0.11Mem: 126476 28616 97860 0 2996 Routes: 2264 imported, 6 exported, 2264 preferred
bgp1 59 14:07:51 up 1 min, load average: 0.99, 0.40, 0.14Mem: 126476 29516 96960 0 2676 Routes: 2265 imported, 146 exported, 4530 preferred
bmx3 60 05:21:00 up 1 min, load average: 0.50, 0.24, 0.09Mem: 126476 26400 100076 0 2676
bgp2 59 14:07:52 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 28536 97940 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 60 14:07:52 up 1 min, load average: 0.99, 0.41, 0.15Mem: 126476 30676 95800 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 61 05:21:01 up 1 min, load average: 0.54, 0.25, 0.09Mem: 126476 26844 99632 0 2676
bgp2 60 14:07:53 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 28412 98064 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 61 14:07:53 up 1 min, load average: 0.99, 0.41, 0.15Mem: 126476 31032 95444 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 62 05:21:02 up 1 min, load average: 0.54, 0.25, 0.09Mem: 126476 26876 99600 0 2676
bgp2 61 14:07:54 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 28412 98064 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 62 14:07:54 up 1 min, load average: 0.99, 0.41, 0.15Mem: 126476 31440 95036 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 63 05:21:03 up 1 min, load average: 0.54, 0.25, 0.09Mem: 126476 26876 99600 0 2676
bgp2 62 14:07:55 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 28288 98188 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 63 14:07:56 up 1 min, load average: 0.99, 0.41, 0.15Mem: 126476 31600 94876 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 64 05:21:04 up 1 min, load average: 0.54, 0.25, 0.09Mem: 126476 26824 99652 0 2676
bgp2 63 14:07:56 up 1 min, load average: 0.83, 0.32, 0.11Mem: 126476 28416 98060 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 64 14:07:57 up 1 min, load average: 0.99, 0.41, 0.15Mem: 126476 31764 94712 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 65 05:21:05 up 1 min, load average: 0.50, 0.25, 0.09Mem: 126476 26944 99532 0 2676
bgp2 64 14:07:57 up 1 min, load average: 0.93, 0.34, 0.12Mem: 126476 28568 97908 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 65 14:07:58 up 1 min, load average: 0.99, 0.42, 0.15Mem: 126476 31988 94488 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 66 05:21:06 up 1 min, load average: 0.50, 0.25, 0.09Mem: 126476 27132 99344 0 2676
bgp2 65 14:07:58 up 1 min, load average: 0.93, 0.34, 0.12Mem: 126476 28608 97868 0 2996 Routes: 2265 imported, 6 exported, 2265 preferred
bgp1 66 14:07:59 up 1 min, load average: 0.99, 0.42, 0.15Mem: 126476 29932 96544 0 2676 Routes: 2265 imported, 427 exported, 4530 preferred
bmx3 67 05:21:07 up 1 min, load average: 0.50, 0.25, 0.09Mem: 126476 27132 99344 0 2676
