bgp2 43 21:17:34 up 1 min, load average: 0.48, 0.18, 0.06Mem: 126476 27236 99240 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 44 07:39:22 up 1 min, load average: 1.02, 0.37, 0.13Mem: 126476 26248 100228 0 2676
bgp1 44 21:17:34 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26652 99824 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 44 21:17:35 up 1 min, load average: 0.48, 0.18, 0.06Mem: 126476 27052 99424 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 45 07:39:23 up 1 min, load average: 1.02, 0.37, 0.13Mem: 126476 26280 100196 0 2676
bgp1 45 21:17:35 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26652 99824 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 45 21:17:36 up 1 min, load average: 0.48, 0.18, 0.06Mem: 126476 27020 99456 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 46 07:39:24 up 1 min, load average: 1.02, 0.37, 0.13Mem: 126476 26256 100220 0 2676
bgp1 46 21:17:36 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26532 99944 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 46 21:17:37 up 1 min, load average: 0.44, 0.18, 0.06Mem: 126476 27080 99396 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp2 47 21:17:38 up 1 min, load average: 0.44, 0.18, 0.06Mem: 126476 26984 99492 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp2 48 21:17:39 up 1 min, load average: 0.44, 0.18, 0.06Mem: 126476 26956 99520 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp2 49 21:17:40 up 1 min, load average: 0.44, 0.18, 0.06Mem: 126476 26980 99496 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp2 50 21:17:41 up 1 min, load average: 0.40, 0.17, 0.06Mem: 126476 26916 99560 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 47 07:39:25 up 1 min, load average: 1.09, 0.39, 0.14Mem: 126476 26284 100192 0 2676
bmx3 48 07:39:26 up 1 min, load average: 1.09, 0.39, 0.14Mem: 126476 26288 100188 0 2676
bmx3 49 07:39:27 up 1 min, load average: 1.09, 0.39, 0.14Mem: 126476 26284 100192 0 2676
bmx3 50 07:39:28 up 1 min, load average: 1.09, 0.39, 0.14Mem: 126476 26248 100228 0 2676
bmx3 51 07:39:29 up 1 min, load average: 1.17, 0.42, 0.15Mem: 126476 26156 100320 0 2676
bgp1 47 21:17:37 up 1 min, load average: 1.00, 0.33, 0.11Mem: 126476 26540 99936 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp1 48 21:17:39 up 1 min, load average: 1.00, 0.33, 0.11Mem: 126476 26496 99980 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp1 49 21:17:40 up 1 min, load average: 1.00, 0.33, 0.11Mem: 126476 26436 100040 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp1 50 21:17:41 up 1 min, load average: 1.00, 0.33, 0.11Mem: 126476 26624 99852 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp1 51 21:17:42 up 1 min, load average: 1.08, 0.36, 0.12Mem: 126476 26500 99976 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 51 21:17:42 up 1 min, load average: 0.40, 0.17, 0.06Mem: 126476 27172 99304 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bgp2 52 21:17:43 up 1 min, load average: 0.40, 0.17, 0.06Mem: 126476 27076 99400 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 52 07:39:30 up 1 min, load average: 1.17, 0.42, 0.15Mem: 126476 26032 100444 0 2676
bgp1 52 21:17:43 up 1 min, load average: 1.08, 0.36, 0.12Mem: 126476 26588 99888 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bmx3 53 07:39:31 up 1 min, load average: 1.17, 0.42, 0.15Mem: 126476 26088 100388 0 2676
bgp1 53 21:17:44 up 1 min, load average: 1.08, 0.36, 0.12Mem: 126476 26596 99880 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 53 21:17:44 up 1 min, load average: 0.40, 0.17, 0.06Mem: 126476 27044 99432 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 54 07:39:32 up 1 min, load average: 1.17, 0.42, 0.15Mem: 126476 26060 100416 0 2676
